Gain DAC	Relative gain
369	2.37809130430357
370	2.38227241707761
371	2.38646061679071
372	2.39065594123566
373	2.39485842820524
374	2.39906811549221
375	2.40328504088937
376	2.40750924218947
377	2.41174075718531
378	2.41597962366965
379	2.42022587943528
380	2.42447956227496
381	2.42874070998148
382	2.43300936034761
383	2.43728555116612
384	2.44156932022981
385	2.44586070533143
386	2.45015974426377
387	2.4544664748196
388	2.4587809347917
389	2.46310316197285
390	2.46743319415582
391	2.47177106913339
392	2.47611682469834
393	2.48047049864343
394	2.48483212876146
395	2.48920175284519
396	2.4935794086874
397	2.49796513408086
398	2.50235896681836
399	2.50676094469267
400	2.51117110549657
401	2.51558948702283
402	2.52001612706423
403	2.52445106341354
404	2.52889433386355
405	2.53334597620702
406	2.53780602823673
407	2.54227452774547
408	2.54675151252601
409	2.55123702037112
410	2.55573108907358
411	2.56023375642616
412	2.56474506022165
413	2.56926503825282
414	2.57379372831244
415	2.57833116819329
416	2.58287739568816
417	2.5874324485898
418	2.59199636469101
419	2.59656918178456
420	2.60115093766322
421	2.60574167011976
422	2.61034141694698
423	2.61495021593764
424	2.61956810488452
425	2.62419512158039
426	2.62883130381803
427	2.63347668939023
428	2.63813131608975
429	2.64279522170936
430	2.64746844404186
431	2.65215102088001
432	2.65684299001659
433	2.66154438924438
434	2.66625525635615
435	2.67097562914468
436	2.67570554540274
437	2.68044504292312
438	2.68519415949859
439	2.68995293292192
440	2.69472140098589
441	2.69949960148328
442	2.70428757220686
443	2.70908535094941
444	2.71389297550371
445	2.71871048366254
446	2.72353791321866
447	2.72837530196486
448	2.73322268769391
449	2.73808010819859
450	2.74294760127167
451	2.74782520470593
452	2.75271295629416
453	2.75761089382911
454	2.76251905510358
455	2.76743747791034
456	2.77236620004215
457	2.77730525929181
458	2.78225469345208
459	2.78721454031575
460	2.79218483767558
461	2.79716562332436
462	2.80215693505486
463	2.80715881065986
464	2.81217128793213
465	2.81719440466445
466	2.8222281986496
467	2.82727270768035
468	2.83232796954949
469	2.83739402204977
470	2.84247090297399
471	2.84755865011492
472	2.85265730126534
473	2.85776689421801
474	2.86288746676573
475	2.86801905670126
476	2.87316170181738
477	2.87831543990686
478	2.88348030876249
479	2.88865634617704
480	2.89384358994329
481	2.899042077854
482	2.90425184770197
483	2.90947293727996
484	2.91470538438076
485	2.91994922679713
486	2.92520450232186
487	2.93047124874771
488	2.93574950386748
489	2.94103930547392
490	2.94634069135983
491	2.95165369931797
492	2.95697836714113
493	2.96231473262208
494	2.96766283355359
495	2.97302270772844
496	2.97839439293941
497	2.98377792697927
498	2.98917334764081
499	2.99458069271679
500	3
501	3.00543130728321
502	3.01087465235919
503	3.01633007302073
504	3.02179760706059
505	3.02727729227156
506	3.03276916644641
507	3.03827326737793
508	3.04378963285887
509	3.04931830068203
510	3.05485930864017
511	3.06041269452608
512	3.06597849613253
513	3.07155675125229
514	3.07714749767815
515	3.08275077320287
516	3.08836661561924
517	3.09399506272004
518	3.09963615229803
519	3.105289922146
520	3.11095641005671
521	3.11663565382296
522	3.12232769123751
523	3.12803256009314
524	3.13375029818262
525	3.13948094329874
526	3.14522453323427
527	3.15098110578199
528	3.15675069873466
529	3.16253334988508
530	3.16832909702601
531	3.17413797795023
532	3.17996003045052
533	3.18579529231965
534	3.1916438013504
535	3.19750559533555
536	3.20338071206787
537	3.20926918934014
538	3.21517106494514
539	3.22108637667564
540	3.22701516232442
541	3.23295745968425
542	3.23891330654792
543	3.24488274070819
544	3.25086579995785
545	3.25686252208967
546	3.26287294489642
547	3.26889710617089
548	3.27493504370584
549	3.28098679529407
550	3.28705239872833
551	3.29313189180142
552	3.2992253123061
553	3.30533269803515
554	3.31145408678134
555	3.31758951633747
556	3.32373902449629
557	3.32990264905059
558	3.33608042779314
559	3.34227239851672
560	3.34847859901411
561	3.35469906707809
562	3.36093384050142
563	3.36718295707688
564	3.37344645459726
565	3.37972437085532
566	3.38601674364385
567	3.39232361075562
568	3.39864500998341
569	3.40498097911999
570	3.41133155595814
571	3.41769677829064
572	3.42407668391026
573	3.43047131060977
574	3.43688069618197
575	3.44330487841961
576	3.44974389511549
577	3.45619778406236
578	3.46266658305302
579	3.46915032988024
580	3.47564906233679
581	3.48216281821544
582	3.48869163530899
583	3.4952355514102
584	3.50179460431185
585	3.50836883180671
586	3.51495827168756
587	3.52156296174718
